sha,date,subject,files,lines,category,hint,first_file
a11c4566,2026-02-19,Messenger: apply rounded corners and border to entire unified layout section,2,8,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
7f7467de,2026-02-19,Messenger: add autogrow textarea and Ctrl+V image paste for operator panel and widget,4,135,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
e7f2f293,2026-02-19,Messenger: add attachment preview cards and image modal,4,588,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
691ed722,2026-02-19,Messenger: fix duplicate messagesList declaration in operator panel,1,1,❓review,no-heuristic-match,backend/messenger/static/messenger/operator-panel.js
206ce1fc,2026-02-19,Messenger settings: fix logger extra name collision,1,2,❓review,no-heuristic-match,backend/ui/views.py
681e69e5,2026-02-19,Widget: allow overriding API base URL via data attribute,2,8,❓review,no-heuristic-match,backend/messenger/static/messenger/widget-loader.js
6df89405,2026-02-19,"Messenger inbox: add channel type, website domain and improved embed snippet",2,87,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_inbox_form.html
b8ef9b9e,2026-02-19,Обновлён UI немодальной панели контакта: современные типы и управление email/телефонами,2,281,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_detail.html
7fda4b51,2026-02-19,Messenger inbox: allow safe deletion,2,50,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_inbox_form.html
8ac976c6,2026-02-19,"Messenger widget: fix embed code, CORS and delivered helper",2,136,🟠ux-gated,touches-templates-or-static,backend/messenger/widget_api.py
48c2eb81,2026-02-19,Staging: документировать CORS и исправить CORS для Widget API,4,22,❓review,no-heuristic-match,deploy_staging.sh
975418a1,2026-02-19,Messenger widget: fix safe logging extra fields,1,25,❓review,no-heuristic-match,backend/messenger/logging_utils.py
982b6ed7,2026-02-19,Widget: backoff polling on 429 and raise default poll rate,2,70,❓review,no-heuristic-match,backend/crm/settings.py
bdc93679,2026-02-19,Widget: улучшить SSE переподключение и nginx конфигурацию,3,86,❓review,no-heuristic-match,backend/messenger/static/messenger/widget.js
4b47b7a3,2026-02-20,"Live-chat: вкладки в форме источника, навигация подразделов, UI в стиле Chatwoot",13,583,🟠ux-gated,touches-templates-or-static,backend/docs/MESSENGER_UI_CHATWOOT_STYLE.md
9bb2f020,2026-02-20,"Код-ревью Live-chat: форма при inbox=None, URL через {% url %}, вложенные формы, крошки, aria-current",11,220,🟠ux-gated,touches-templates-or-static,backend/docs/CODE_REVIEW_MESSENGER_UI.md
51df6910,2026-02-20,"Исправление вкладок настроек источника: класс inbox-form-tabs, полная ширина",1,2,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_inbox_form.html
cafaf6df,2026-02-20,"Конструктор виджета: предпросмотр в стиле Chatwoot, обновление в реальном времени",1,120,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_inbox_form.html
4393ca05,2026-02-20,"Виджет: единые стили в предпросмотре и на сайте, обновлённый вид (тени, скругления, форма)",3,114,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/widget.css
3e24e48b,2026-02-20,"Предпросмотр: два режима (По умолчанию / Чат), согласие и политика, виджет: картинки в новой вкладке, эмодзи и современный ввод",4,270,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/widget.css
6076cad2,2026-02-20,Исправление: extra['name'] в логгере заменён на inbox_name (конфликт с LogRecord.name),1,2,❓review,no-heuristic-match,backend/ui/views.py
814fa391,2026-02-20,"Виджет: min-height 460px, лента сообщений 260–420px — без скукоживания",1,5,❓review,no-heuristic-match,backend/messenger/static/messenger/widget.css
112011e7,2026-02-20,"Виджет: убрать Chatwoot, пре-чат с согласием, высота, рабочие часы",8,506,🟠ux-gated,touches-templates-or-static,backend/crm/urls.py
